author,book_id,inputdate,price,title,upaddress,url
衍生动漫|编者:七彩童年,1335243636, /2019-01-01,¥8.46, 捣蛋鬼是妈妈/草本家族儿童健康成长好习惯漫画书,天地,https://product.dangdang.com/1335243636.html
咏声动漫|编者:晨光数媒,1763585986, /2019-01-01,¥7.56, 逆商培养漫画故事书(挑战荆棘队)/猪猪侠竞球小英雄动画连环画,晨光,https://product.dangdang.com/1763585986.html
咏声动漫著邢立达主编童研社编...,624819582, /2021-05-01,¥8.90, 恐龙界的好妈妈慈母龙,海天,https://product.dangdang.com/624819582.html
咏声动漫/著,1505310015, /2018-12-12,¥6.34, 《猪猪侠超星萌宠？心灵成长故事连环画》（第一辑）签订契约吧少年,中国致公,https://product.dangdang.com/1505310015.html
咏声动漫|编者:晨光数媒,1345352236, /2019-01-01,¥6.30, 儿童性格形成关键期识字故事书(卖萌企鹅队)/猪猪侠竞球小英雄,晨光,https://product.dangdang.com/1345352236.html
咏声动漫,1267897522, /2018-11-01,¥7.50, 卖萌企鹅队/猪猪侠竞球小英雄:儿童性格形成关键期识字故事书 晨光出版社,晨光出版社,https://product.dangdang.com/1267897522.html
奥飞动漫；天代出版,1285534790, /2016-09-01,¥7.05, 希腊火车之旅(MPR)/超级飞侠双语图画故事书,吉林出版集团股份有限公司,https://product.dangdang.com/1285534790.html
甄琦,11781790055, /2009-03-01,¥7.69, 超人气动漫大赏 地道日语轻松学 甄琦【正版】,大连理工大学出版社,https://product.dangdang.com/11781790055.html
哒哒猫,11750742132, /2018-01-01,¥37.74, 花与萌娘动漫线稿手绘涂色集 【正版】,中国水利水电出版社,https://product.dangdang.com/11750742132.html
编者:何玉辉//王坤,1462844760, /2016-08-01,¥23.90, 计算机动漫与游戏制作教程(陕西省中等职业学校专业骨干教师培训系列教材),西安电子科大,https://product.dangdang.com/1462844760.html
编者:何玉辉//王坤,1299685867, /2016-08-01,¥24.19, 计算机动漫与游戏制作教程(陕西省中等职业学校专业骨干教师培训系列教材),西安电子科大,https://product.dangdang.com/1299685867.html
张亚杰、唐一帆、牛雪彤,11754836092, /2014-05-01,¥16.50, 色铅笔画动漫100例 Q版篇 【正版书籍】,人民邮电出版社,https://product.dangdang.com/11754836092.html
 ,11747045046, ,¥48.49, 【速发】动漫电脑插画技法（新编21世纪高等职业教育精品教材·电子与信息类）,中国人民大学出版社,https://product.dangdang.com/11747045046.html
京鼎动漫,410307134, ,¥1194.00, 大中华寻宝系列1-30,二十一世纪出版社,https://product.dangdang.com/410307134.html
奥飞动漫,1718714536, /2015-05-01,¥6.10, 超级飞侠图画故事书－马戏表演要准时 奥飞动漫 接力出版社 9787544839259,接力出版社,https://product.dangdang.com/1718714536.html
衍生动漫,1437881214, /2019-01-01,¥7.48, 捣蛋鬼是“妈妈”,天地出版社,https://product.dangdang.com/1437881214.html
衍生动漫 著,26509677, /2019-01-01,¥3.40, 草本家族 儿童健康成长好习惯漫画书：捣蛋鬼是“妈妈”（热播主题动漫《草本家族》分镜式抓帧动画书，深入浅出解读草本知识!）,天地出版社,https://product.dangdang.com/26509677.html
奥飞动漫,1718714566, /2015-05-01,¥5.10, 贡多拉真棒-超级飞侠图画故事书 奥飞动漫 接力出版社 9787544839228,接力出版社,https://product.dangdang.com/1718714566.html
衍生动漫,1437859114, /2019-01-01,¥6.66, 金银花姐妹,天地出版社,https://product.dangdang.com/1437859114.html
广东咏声动漫股份有限公司,1032830819, /2018-06-01,¥4.28, 猪猪侠竞球小英雄-竞战软绵绵队,天地出版社,https://product.dangdang.com/1032830819.html
华强方特(深圳)动漫有限公司 著;深圳市书童文化发展有限公司 编,11725517001, /2018-01-01,¥13.53," 【新华书店自营店】熊出没 变形记大电影连环画,四川少年儿童出版社",四川少年儿童出版社,https://product.dangdang.com/11725517001.html
bilibili 两点十分动漫,11251897104, /2022-04-25,¥83.16, 《秘宝之国动漫艺术设定集》,太白文艺,https://product.dangdang.com/11251897104.html
"李明,肖玮",11725229456, /2023-05-01,¥28.51," 【新华书店总店旗舰店】动漫文化品牌构建策略研究,李明,肖玮,江苏凤凰美术出版社",江苏凤凰美术出版社,https://product.dangdang.com/11725229456.html
佚名,11730425086, /2007-03-01,¥3.55," 【新华书店总店旗舰店】动漫画法,中国美术学院出版社",中国美术学院出版社,https://product.dangdang.com/11730425086.html
绘月工坊 Lezons,29434655, /2022-08-01,¥52.00, 板绘教室 SAI日系动漫插画色彩与质感表现教程,人民邮电出版社,https://product.dangdang.com/29434655.html
京鼎动漫,1650342974, /2020-01-15,¥12.30, 正版寻宝记神兽发电站9大中华寻宝记系列科普全套自营同款漫画书7-10岁儿童漫画书11-14岁三四年级课外阅读书推荐五六年,二十一世纪出版社,https://product.dangdang.com/1650342974.html
缘漫动漫,11449006669, /2022-08-06,¥49.50, 漫画唐诗 全套4册小学生超喜爱的漫画唐诗探索唐诗世界从漫画开始原文注释译文赏析识作者看古今 趣味漫画绘本故事书适合6 7,民主与建设出版社,https://product.dangdang.com/11449006669.html
京鼎动漫,612737981, ,¥87.50, 恐龙世界寻宝记全套4册1234当当自营同款大中华寻宝记系列全套当当自营恐龙世界恐龙百科全书漫画书【新旧版本随机发货，内容,二十一世纪出版社集团,https://product.dangdang.com/612737981.html
奥飞动漫,25096847, /2017-05-01,¥35.10, 喜羊羊与灰太狼之智趣羊学堂百科漫画（套装共6册）,四川少年儿童出版社,https://product.dangdang.com/25096847.html
灌木文化,29690628, /2024-02-01,¥17.30, 超萌萝莉与正太 动漫角色素材100例,人民邮电出版社,https://product.dangdang.com/29690628.html
严琼,29579272, /2023-05-01,¥78.20, 少女的色彩 马克笔动漫人物手绘教程,人民邮电出版社,https://product.dangdang.com/29579272.html
coco动漫公社,29687617, /2024-01-01,¥34.70, 这样画超可爱 马克笔动漫素材1000例,人民邮电出版社,https://product.dangdang.com/29687617.html
衍生动漫|编者:七彩童年,1335244136, /2019-01-01,¥8.46, 金银花姐妹/草本家族儿童健康成长好习惯漫画书,天地,https://product.dangdang.com/1335244136.html
