ISBM,book_id,isset,kaiben,package,paper,subcategory
 9787532187577,29597009, 否, 16开, 平装, 书写纸,中国当代小说
 9787506386647,23952499, 否, 32开, 精装, 胶版纸,中国
 9787505742741,29566051, 否, 32开, 精装, 胶版纸,语文阅读
 9787559711366,27865219, 否, 32开, 平装-胶订, 轻型纸,文学
 9787547721208,29633510, 是, 16开, 平装-胶订, 轻型纸,课外阅读
 9787515366050,29467028, 否, 32开, 精装, 轻型纸,文学理论
 25324579,25324579, 是, 32开, 平装-胶订, 轻型纸,社会小说
 ,12100014115, 否, , , ,侦探/悬疑/推理小说
 9787559675217,29713109, 否, 128开, 平装-胶订, 胶版纸,纪实文学
 9787530671900,24177139, 否, 16开, 平装-胶订, 胶版纸,中国
 9787300326467,29710357, 否, 16开, 平装-胶订, 胶版纸,写作与修辞
 9787571501921,28480933, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787530774045,29568618, 否, 32开, 平装-胶订, 胶版纸,文学
 9787301341926,29661605, 否, 32开, 平装, 胶版纸,社会小说
 9787530669341,23856219, , 16开, 平装, 胶版纸,中国
 9787536097834,29498653, 否, 16开, 平装-胶订, 书写纸,文学评论与鉴赏
 9787530768914,29160762, 否, 32开, 平装-胶订, 胶版纸,快乐成长
 9787539188775,1386929747, 否, 32开, 平装-胶订, 轻型纸,社会小说
 9787541498893,26439568, 否, 32开, 平装-胶订, 轻型纸,经典必读
 9787100109925,25101039, 否, 16开, 平装-胶订, 胶版纸,课外阅读
 9787530766811,25269711, 否, 16开, 平装-胶订, 胶版纸,拼音读物
 9787532789825,29401754, 否, 32开, 精装, 胶版纸,文学理论
 9787533949594,25200702, 否, 16开, 平装-胶订, 胶版纸,中国当代小说
 9787505744950,26439473, 否, 32开, 平装-胶订, 胶版纸,欧洲
 9787547432358,1567209382, 否, 32开, 精装, 胶版纸,社会小说
 9787556214150,23796843, 否, 32开, 平装-胶订, 胶版纸,文学
 9787208171251,29286390, 否, 32开, 精装, 轻型纸,文学理论
 9787300130309,29260868, 否, 16开, 平装-胶订, 胶版纸,写作与修辞
 9787547432358,11520014997, 否, 32开, 平装, 书写纸,社会小说
 9787530768914,29246304, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530774953,29560954, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530768891,29481933, 是, 16开, 平装-胶订, 胶版纸,文学
 9787544790192,29382393, 否, 128开, 平装-胶订, 胶版纸,其他国家
 9787501617005,29245865, 是, 32开, 平装-胶订, 胶版纸,文学
 9787559723031,29202931, 否, 32开, 平装-胶订, 轻型纸,文学
 9787532189144,29676772, 否, 16开, 平装, 书写纸,中国当代小说
 ,12100014679, 否, , , ,大陆原创青春文学
 9787501608843,29714049, 是, 32开, 平装-胶订, 胶版纸,文学
 9787506898232,29707589, 否, 16开, 平装-胶订, 胶版纸,中国
 9787530766828,25233013, 否, 32开, 平装-胶订, 胶版纸,快乐成长
 9787511379665,28983864, 是, 32开, 平装-胶订, 纯质纸,社会小说
 ,12100013664, 否, , , ,文集
 9787571509682,29651652, 否, 32开, 平装-胶订, 胶版纸,文学
 9787544722261,27881047, 否, 32开, 平装-胶订, 纯质纸,其他国家
 9787221152305,29513996, 否, 16开, 平装-胶订, 轻型纸,文学
 9787545152876,11415977834, 否, 3开, 平装, 胶版纸,民间文学
 9787541490156,25152579, 否, 32开, 平装-胶订, 轻型纸,文学
 9787530755372,29456302, 否, 32开, 平装-胶订, 胶版纸,文学
 9787555285298,1601968522, 否, 32开, 平装-胶订, 胶版纸,青春爱情文学
 9787559724571,29312464, 否, 32开, 平装-胶订, 轻型纸,文学
 9787559854544,11347199847, 否, 32开, 平装-胶订, 胶版纸,文学理论
 9787530768877,28471763, 否, 32开, 平装-胶订, 胶版纸,大语文
 9787530682296,29363648, 否, 16开, 平装-胶订, 纯质纸,中国
 9787530765692,29428204, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530762837,29444906, 否, 16开, 平装-胶订, 胶版纸,文学
 9787541498565,26439565, 否, 32开, 平装-胶订, 轻型纸,文学
 9787305193088,29305536, 否, 24开, 平装-胶订, 胶版纸,文学
 9787516834008,29498864, 否, 32开, 平装-胶订, 纯质纸,课外阅读
 9787544785914,29264521, 否, 32开, 精装, 轻型纸,英国
 ,12100015828, 否, , , ,中国当代小说
 9787201099828,25313069, 否, 32开, 平装-胶订, 轻型纸,中国
 ,12100012697, 否, , , ,文集
 9787220132278,29609836, 是, 32开, 精装, 纯质纸,德国
 9787530762912,25108747, 否, 16开, 平装-胶订, 胶版纸,拼音读物
 29544774,29544774, 是, 32开, 精装, 胶版纸,德国
 9787533949730,25200705, 否, 16开, 平装-胶订, 胶版纸,中国当代小说
 29397672,29397672, 是, 16开, 精装, 胶版纸,课外阅读
 9787551319782,11119746854, 否, 16开, 平装-胶订, 胶版纸,中国当代小说
 9787560576589,25310349, 否, 16开, 精装, 轻型纸,欧洲
 9787556833917,29576942, 否, 32开, 平装-胶订, 轻型纸,文学
 9787541490248,25152582, 否, 32开, 平装-胶订, 轻型纸,文学
 ,12100013142, 否, , , ,侦探/悬疑/推理小说
 9787208139022,25222140, 否, 32开, 盒装, 轻型纸,文学评论与鉴赏
 9787547721506,29162784, 否, 16开, 平装-胶订, 轻型纸,课外阅读
 9787530760130,29629774, 否, 32开, 平装-胶订, 胶版纸,文学
 9787541470738,23711769, 否, 32开, 平装-胶订, 轻型纸,文学
 9787020180455,29606763, 否, 32开, 平装-胶订, 胶版纸,中国当代小说
 9787020147441,27877584, 是, 32开, 平装-胶订, 胶版纸,其他国家
 9787530768884,29481934, 是, 16开, 平装-胶订, 胶版纸,文学
 9787530770696,29135464, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530763919,25083380, 否, 16开, 平装-胶订, 胶版纸,拼音读物
 9787514884883,29726638, 否, 24开, 平装-胶订, 胶版纸,文学
 9787511726971,23806793, 否, 32开, 平装-胶订, 胶版纸,课外阅读
 9787304083175,24184360, 否, 32开, 平装-胶订, 胶版纸,文学
 9787020183456,29667056, 否, 32开, 平装-胶订, 胶版纸,文学评论与鉴赏
 9787513215459,27924436, 否, 128开, 平装-胶订, 胶版纸,中医临床
 9787559712899,27872000, 否, 16开, 精装, 轻型纸,文学
 9787530766378,25217403, 否, 16开, 平装-胶订, 胶版纸,文学
 9787545152609,29701848, 否, 32开, 平装-胶订, 胶版纸,课外阅读
 9787214252999,29696205, 否, 32开, 平装-胶订, 胶版纸,名家作品
 9787020104253,23667889, 否, 大32开, 精装, 胶版纸,外国
 9787570812752,29383001, 否, 32开, 平装-胶订, 胶版纸,文学
 29233670,29233670, 是, 32开, 平装-胶订, 胶版纸,言情
 9787547721193,29162766, 否, 16开, 平装-胶订, 轻型纸,课外阅读
 9787538768725,29266111, 否, 16开, 平装-胶订, 胶版纸,课外阅读
